date,open,high,low,close
2023-09-07,19224.52,19471.4,19224.48,19375.68
2023-09-10,19375.68,19676.23,19375.64,19577.85
2023-09-11,19577.85,19601.83,19238.48,19278.72
2023-09-12,19278.72,19286.18,19112.04,19144.09
2023-09-13,19144.09,19408.92,19144.09,19361.7
2023-09-14,19361.7,19642.41,19361.7,19540.33
2023-09-17,19540.33,19772.59,19540.33,19668.82
2023-09-18,19668.82,19762.4,19586.73,19751.78
2023-09-19,19751.78,20049.38,19712.25,19954.3
2023-09-20,19954.3,20264.21,19715.05,19797.23
2023-09-21,19797.23,20082.1,19692.41,20080.57
2023-09-24,20080.57,20325.68,20077.36,20213.7
2023-09-25,20213.7,20498.51,20213.7,20320.56
2023-09-26,20320.56,20531.31,20320.56,20354.86
2023-09-27,20354.86,20429.44,20086.4,20174.28
2023-10-01,20174.28,20223.85,19979.56,20054.72
2023-10-02,20054.72,20162.05,19608.68,19901.24
2023-10-03,19901.24,19927.22,19652.16,19706.96
2023-10-04,19706.96,19896.46,19661.31,19873.31
2023-10-08,19873.31,19873.31,18455.68,19357.42
2023-10-09,19357.42,19464.73,19219.31,19409.78
2023-10-10,19409.78,19749.01,19276.31,19724.32
2023-10-11,19724.32,19913.82,19653.49,19653.49
2023-10-12,19653.49,20002.1,19653.49,20002.1
2023-10-15,20002.1,20464.66,20002.1,20324.96
2023-10-16,20324.96,21328.74,20324.96,21032.35
2023-10-17,21032.35,22142.88,21032.35,22073.95
2023-10-18,22073.95,22423.59,21972.82,22117.4
2023-10-19,22117.4,22217.68,21616.6,21616.6
2023-10-22,21616.6,22202.78,21586.32,22128.49
2023-10-23,22128.49,22616.58,22128.49,22572.49
2023-10-24,22572.49,22841.22,21858.48,22377.39
2023-10-25,22377.39,23226.61,22377.39,23131.96
2023-10-26,23131.96,23439.4,22911.53,23262.27
2023-10-29,23262.27,23413.14,23086.72,23086.72
2023-10-30,23086.72,23559.2,23086.72,23435.65
2023-10-31,23435.65,23573.84,22550.65,22550.65
2023-11-01,22550.65,22911.98,22201.56,22433.38
2023-11-02,22433.38,22882.69,22433.38,22639.59
2023-11-05,22639.59,23247.24,22639.59,23094.69
2023-11-06,23094.69,23246.11,23011.39,23059.15
2023-11-07,23059.15,23477.77,23059.15,23393.41
2023-11-08,23393.41,24136.44,23393.41,23986.56
2023-11-09,23986.56,24543.08,23986.56,24312.92
2023-11-12,24312.92,24473.74,23857.08,23910.66
2023-11-13,23910.66,24073.77,23694.68,23954.96
2023-11-14,23954.96,24216.58,23842.85,23894.06
2023-11-15,23894.06,24196.97,23894.06,24138.8
2023-11-16,24138.8,24451.71,24138.8,24383.27
2023-11-19,24383.27,24958.79,24383.27,24899.59
2023-11-20,24899.59,25337.9,24726.0,24760.02
2023-11-21,24760.02,24774.04,24517.9,24774.04
2023-11-22,24774.04,25098.4,24774.04,25029.57
2023-11-23,25029.57,25563.41,25029.57,25519.49
2023-11-26,25519.49,25743.23,25241.52,25300.32
2023-11-27,25300.32,25945.58,25300.32,25905.54
2023-11-28,25905.54,25930.12,25121.73,25121.73
2023-11-29,25121.73,25204.84,24553.42,24759.16
2023-11-30,24759.16,25017.01,24416.9,24735.39
2023-12-03,24735.39,24809.93,24491.7,24571.98
2023-12-04,24571.98,25323.48,24571.98,25265.41
2023-12-05,25265.41,25446.14,24977.73,25127.91
2023-12-06,25127.91,25311.4,24702.38,24703.55
2023-12-07,24703.55,24712.7,24055.32,24686.16
2023-12-10,24686.16,24773.06,24189.83,24189.83
2023-12-11,24189.83,24260.98,23941.25,24182.06
2023-12-12,24182.06,24414.73,23968.87,24071.66
2023-12-13,24071.66,24828.13,24071.66,24773.92
2023-12-14,24773.92,25056.43,24722.82,24722.82
2023-12-17,24722.82,24979.6,24722.82,24792.14
2023-12-18,24792.14,25422.08,24792.14,25334.09
2023-12-19,25334.09,25532.2,25076.42,25076.42
2023-12-20,25076.42,25263.79,24831.11,24837.56
2023-12-21,24837.56,25077.59,24261.88,24305.09
2023-12-24,24305.09,24579.6,23822.17,23822.17
2023-12-25,23822.17,24262.07,23728.23,24226.68
2023-12-26,24226.68,24408.08,23857.5,23994.54
2023-12-27,23994.54,24481.08,23994.54,24351.12
2023-12-28,24351.12,25780.7,24351.12,24691.43
2023-12-31,24691.43,25144.43,24691.43,24894.26
2024-01-02,24894.26,25501.94,24894.26,25501.94
2024-01-03,25501.94,25653.23,25381.93,25408.51
2024-01-04,25408.51,25478.96,25323.85,25350.28
2024-01-08,25350.28,25495.5,25278.23,25344.63
2024-01-09,25344.63,25622.96,25344.63,25589.99
2024-01-10,25589.99,25708.3,25466.75,25466.75
2024-01-11,25466.75,25576.13,25367.83,25519.25
2024-01-14,25519.25,25996.31,25519.25,25974.84
2024-01-15,25974.84,26377.36,25974.84,26250.73
2024-01-16,26250.73,26938.14,26250.73,26938.14
2024-01-17,26938.14,27166.98,26756.7,26758.26
2024-01-18,26758.26,26931.61,26670.26,26842.67
2024-01-21,26842.67,27741.56,26842.67,27719.37
2024-01-22,27719.37,28120.9,27719.37,28050.33
2024-01-23,28050.33,28102.33,27536.52,27587.0
2024-01-24,27587.0,27702.46,27467.36,27666.18
2024-01-28,27666.18,28847.92,27666.18,28625.76
2024-01-29,28625.76,29430.92,28625.76,29227.79
2024-01-30,29227.79,30347.3,29193.92,30347.3
2024-01-31,30347.3,30695.6,28224.41,28281.91
2024-02-01,28281.91,28486.91,26465.07,28434.37
2024-02-04,28434.37,28477.74,27162.86,27573.5
2024-02-05,27573.5,27902.36,27501.6,27665.75
2024-02-06,27665.75,27881.32,27034.49,27270.63
2024-02-07,27270.63,28281.1,27270.63,27905.95
2024-02-08,27905.95,28411.41,27864.33,28411.41
2024-02-11,28411.41,28621.86,27972.28,28199.04
2024-02-12,28199.04,28690.51,27682.75,28494.72
2024-02-13,28494.72,28836.39,28306.56,28604.54
2024-02-14,28604.54,28973.34,28604.54,28874.99
2024-02-15,28874.99,29073.3,28810.56,28926.15
2024-02-18,28926.15,29178.09,28926.15,29125.57
2024-02-19,29125.57,29498.39,29104.68,29452.4
2024-02-20,29452.4,29660.61,29323.75,29330.66
2024-02-21,29330.66,29497.6,29150.82,29292.05
2024-02-22,29292.05,29475.8,29211.75,29309.73
2024-02-25,29309.73,29309.73,27106.26,27840.86
2024-02-26,27840.86,29341.16,27806.45,28931.92
2024-02-27,28931.92,30035.83,28931.92,29205.16
2024-02-28,29205.16,29792.91,28876.46,28876.46
2024-02-29,28876.46,29195.67,28358.83,28964.41
2024-03-03,28964.41,29398.57,28564.79,29058.33
2024-03-04,29058.33,30643.95,29058.33,30542.33
2024-03-05,30542.33,31162.75,30142.07,30668.89
2024-03-06,30668.89,32217.79,29743.11,29743.11
2024-03-07,29743.11,31300.54,29743.11,31300.54
2024-03-10,31300.54,33062.98,31300.54,32919.95
2024-03-11,32919.95,34499.42,32919.95,33382.51
2024-03-12,33382.51,33382.51,31979.55,32661.61
2024-03-13,32661.61,32746.61,30485.21,31013.88
2024-03-14,31013.88,31594.31,29959.19,31316.43
2024-03-17,31316.43,31781.24,31061.88,31061.88
2024-03-18,31061.88,31065.5,29091.29,29091.29
2024-03-19,29091.29,29091.29,28167.52,28675.7
2024-03-20,28675.7,29229.67,28542.99,28589.37
2024-03-21,28589.37,29096.93,28280.76,29054.96
2024-03-24,29054.96,29381.38,28764.76,29060.02
2024-03-25,29060.02,29344.46,28935.94,29344.46
2024-03-26,29344.46,29538.43,28997.13,29057.5
2024-03-27,29057.5,29114.08,28054.18,28224.37
2024-03-28,28224.37,28224.37,27559.35,27559.35
2024-03-31,27559.35,27631.72,26746.24,26883.39
2024-04-01,26883.39,28297.17,26883.39,28297.17
2024-04-02,28297.17,28659.08,27934.36,27934.36
2024-04-03,27934.36,27978.76,27643.5,27937.22
2024-04-04,27937.22,28618.34,27937.22,28506.16
